state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,1,0,1,0,-1,1,0,-1",-99,-99,-6.893867062339467,-99,-9.262421014911157,-99,-99,-19.999999999999986,-99
"-1,1,0,1,0,-1,1,0,0",-99,-99,0,-99,0,-99,-99,0,0
"-1,1,0,1,0,-1,1,1,-1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,0,0,-1,-1,0",-99,-99,-12.276364000021179,-99,2.3528394064300566,-14.04404785317377,-99,-99,4.499999999999993
"-1,1,0,1,0,0,-1,-1,1",-99,-99,5.850999268615704,-99,6.908553052227126,8.999999999999986,-99,-99,-99
"-1,1,0,1,0,0,-1,0,-1",-99,-99,-19.85233815636244,-99,-5.8148779745582875,-16.28170465372179,-99,-15.29071001577855,-99
"-1,1,0,1,0,0,-1,0,0",-99,-99,2.944063571554339,-99,8.999999999999986,5.791371553061789,-99,4.968158416827928,7.434508820879507
"-1,1,0,1,0,0,-1,0,1",-99,-99,0,-99,0,0,-99,0,-99
"-1,1,0,1,0,0,-1,1,-1",-99,-99,-11.152722262542921,-99,9.999999999999993,-4.963194193024343,-99,-99,-99
"-1,1,0,1,0,0,-1,1,0",-99,-99,0,-99,0,0,-99,-99,0
"-1,1,0,1,0,0,0,-1,-1",-99,-99,-19.61973672503298,-99,-14.570029882118666,-19.441240702326024,-19.68322197716042,-99,-99
"-1,1,0,1,0,0,0,-1,0",-99,-99,2.5927168803637275,-99,8.34452360365476,7.653643906496842,5.94000506661618,-99,6.428835673596409
"-1,1,0,1,0,0,0,-1,1",-99,-99,0,-99,0,0,0,-99,-99
"-1,1,0,1,0,0,0,0,-1",-99,-99,-4.916734233390791,-99,8.999999999999986,4.420261562015672,-3.673722221525219,2.17392151897859,-99
"-1,1,0,1,0,0,0,0,0",-99,-99,0,-99,0,0,0,0,0
"-1,1,0,1,0,0,0,1,-1",-99,-99,0,-99,0,0,0,-99,-99
"-1,1,0,1,0,0,1,-1,-1",-99,-99,-7.705624367704472,-99,8.999999999999986,-5.591145593880928,-99,-99,-99
"-1,1,0,1,0,0,1,-1,0",-99,-99,0,-99,0,0,-99,-99,0
"-1,1,0,1,0,0,1,0,-1",-99,-99,0,-99,0,0,-99,0,-99
"-1,1,0,1,0,1,-1,-1,-1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,0,1,-1,-1,0",-99,-99,-3.6883320513725044,-99,9.999999999999993,-99,-99,-99,8.999999999999986
"-1,1,0,1,0,1,-1,-1,1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,0,1,-1,0,-1",-99,-99,-19.999999999999986,-99,9.999999999999993,-99,-99,-8.176918643196217,-99
"-1,1,0,1,0,1,-1,0,0",-99,-99,0,-99,0,-99,-99,0,0
"-1,1,0,1,0,1,-1,1,-1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,0,1,0,-1,-1",-99,-99,-19.999999999999986,-99,9.999999999999993,-99,-6.297546462491647,-99,-99
"-1,1,0,1,0,1,0,-1,0",-99,-99,0,-99,0,-99,0,-99,0
"-1,1,0,1,0,1,0,0,-1",-99,-99,0,-99,0,-99,0,0,-99
"-1,1,0,1,0,1,1,-1,-1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,1,-1,-1,-1,0",-99,-99,-19.999999999999986,-99,-99,-99,-99,-99,4.9999999999999964
"-1,1,0,1,1,-1,-1,-1,1",-99,-99,4.9999999999999964,-99,-99,-99,-99,-99,-99
"-1,1,0,1,1,-1,-1,0,-1",-99,-99,-19.999999999999986,-99,-99,-99,-99,9.999999999999993,-99
"-1,1,0,1,1,-1,-1,0,0",-99,-99,6.070784493857195,-99,-99,-99,-99,9.999999999999993,7.140003797258039
"-1,1,0,1,1,-1,-1,0,1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,1,0,1,1,-1,-1,1,-1",-99,-99,0,-99,-99,-99,-99,-99,-99
"-1,1,0,1,1,-1,-1,1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,1,0,1,1,-1,0,-1,-1",-99,-99,-19.999999999999986,-99,-99,-99,-19.999999999999986,-99,-99
"-1,1,0,1,1,-1,0,-1,0",-99,-99,7.034448379497598,-99,-99,-99,6.02512179553805,-99,4.499999999999993
"-1,1,0,1,1,-1,0,-1,1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,1,-1,0,0,-1",-99,-99,8.999999999999986,-99,-99,-99,-2.7489005377480833,9.999999999999993,-99
"-1,1,0,1,1,-1,0,0,0",-99,-99,0,-99,-99,-99,0,0,0
"-1,1,0,1,1,-1,0,1,-1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,1,-1,1,-1,-1",-99,-99,9.999999999999993,-99,-99,-99,-99,-99,-99
"-1,1,0,1,1,-1,1,-1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,1,0,1,1,-1,1,0,-1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,1,0,1,1,0,-1,-1,-1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,1,0,-1,-1,0",-99,-99,-9.86067592835387,-99,-99,9.999999999999993,-99,-99,6.835687926605645
"-1,1,0,1,1,0,-1,-1,1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,1,0,-1,0,-1",-99,-99,-2.559448302341265,-99,-99,9.999999999999993,-99,9.999999999999993,-99
"-1,1,0,1,1,0,-1,0,0",-99,-99,0,-99,-99,0,-99,0,0
"-1,1,0,1,1,0,-1,1,-1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,1,0,0,-1,-1",-99,-99,-4.7584115298366925,-99,-99,9.999999999999993,8.999999999999986,-99,-99
