state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,0,0,1,-1,0,1,0,0",-99,-19.99999661996348,-17.974932586616934,-99,-99,-17.264991374129217,-99,-19.999999140840067,4.04999999999999
"-1,0,0,1,-1,0,1,0,1",-99,0,0,-99,-99,0,-99,0,-99
"-1,0,0,1,-1,0,1,1,-1",-99,0,0,-99,-99,0,-99,-99,-99
"-1,0,0,1,-1,0,1,1,0",-99,0,0,-99,-99,0,-99,-99,0
"-1,0,0,1,-1,1,-1,1,0",-99,-18.564204024616295,-18.40467113846255,-99,-99,-99,-99,-99,-18.40467113846255
"-1,0,0,1,-1,1,-1,1,1",-99,0,0,-99,-99,-99,-99,-99,-99
"-1,0,0,1,-1,1,0,0,0",-99,-16.030800840180785,-18.837005259939197,-99,-99,-99,-15.9046818771105,-16.197721543877773,-15.94830363888276
"-1,0,0,1,-1,1,0,0,1",-99,0,0,-99,-99,-99,0,0,-99
"-1,0,0,1,-1,1,0,1,-1",-99,0,0,-99,-99,-99,0,-99,-99
"-1,0,0,1,-1,1,0,1,0",-99,0,0,-99,-99,-99,0,-99,0
"-1,0,0,1,-1,1,1,-1,0",-99,-18.03045819563278,-18.03045819563278,-99,-99,-99,-99,-99,-18.03045819563278
"-1,0,0,1,-1,1,1,-1,1",-99,0,0,-99,-99,-99,-99,-99,-99
"-1,0,0,1,-1,1,1,0,-1",-99,0,0,-99,-99,-99,-99,0,-99
"-1,0,0,1,-1,1,1,0,0",-99,0,0,-99,-99,-99,-99,0,0
"-1,0,0,1,0,-1,-1,1,1",-99,3.682926036378898,3.28678043154572,-99,4.328059852782585,-99,-99,-99,-99
"-1,0,0,1,0,-1,0,0,1",-99,1.9636017460874473,1.7455893643258118,-99,2.42795814843974,-99,3.8197074573253045,1.871858882122778,-99
"-1,0,0,1,0,-1,0,1,0",-99,0.31969637582714305,0.9492221114699336,-99,1.7750505080894392,-99,-3.8720661678000003,-99,3.456990049710297
"-1,0,0,1,0,-1,0,1,1",-99,0,0,-99,0,-99,0,-99,-99
"-1,0,0,1,0,-1,1,-1,1",-99,4.054651354366878,4.480323791050644,-99,4.004137410238364,-99,-99,-99,-99
"-1,0,0,1,0,-1,1,0,0",-99,-8.523183029667532,1.8317659087680618,-99,-13.951016827737316,-99,-99,-6.2427457770663,3.8901879975415463
"-1,0,0,1,0,-1,1,0,1",-99,0,0,-99,0,-99,-99,0,-99
"-1,0,0,1,0,-1,1,1,-1",-99,-15.882177358107018,-13.7237880782,-99,-13.7237880782,-99,-99,-99,-99
"-1,0,0,1,0,-1,1,1,0",-99,0,0,-99,0,-99,-99,-99,0
"-1,0,0,1,0,0,-1,1,1",-99,0,0,-99,0,0,-99,-99,-99
"-1,0,0,1,0,0,0,0,0",-99,3.523836965301492,3.6192346744256794,-99,3.644999999999989,-13.522497574640955,-6.464980493407465,-11.971240530916209,3.1332420397733736
"-1,0,0,1,0,0,0,0,1",-99,0,0,-99,0,0,0,0,-99
"-1,0,0,1,0,0,0,1,0",-99,0,0,-99,0,0,0,-99,0
"-1,0,0,1,0,0,1,0,0",-99,0,0,-99,0,0,-99,0,0
"-1,0,0,1,0,1,-1,1,0",-99,0,0,-99,0,-99,-99,-99,0
"-1,0,0,1,0,1,0,0,0",-99,0,0,-99,0,-99,0,0,0
"-1,0,0,1,1,-1,-1,0,1",-99,4.499999894544857,4.488067861133356,-99,-99,-99,-99,4.458648796992743,-99
"-1,0,0,1,1,-1,-1,1,1",-99,0,0,-99,-99,-99,-99,-99,-99
"-1,0,0,1,1,-1,0,-1,1",-99,3.085170941259103,4.373713825358452,-99,-99,-99,1.2114187530639382,-99,-99
"-1,0,0,1,1,-1,0,0,0",-99,4.04999999999999,4.049999972068777,-99,-99,-99,-17.992845547383844,4.049959362079928,3.9148718779594183
"-1,0,0,1,1,-1,0,0,1",-99,0,0,-99,-99,-99,0,0,-99
"-1,0,0,1,1,-1,0,1,0",-99,0,0,-99,-99,-99,0,-99,0
"-1,0,0,1,1,-1,1,-1,1",-99,0,0,-99,-99,-99,-99,-99,-99
"-1,0,0,1,1,-1,1,0,0",-99,0,0,-99,-99,-99,-99,0,0
"-1,0,0,1,1,-1,1,1,-1",-99,0,0,-99,-99,-99,-99,-99,-99
"-1,0,0,1,1,0,-1,0,1",-99,0,0,-99,-99,0,-99,0,-99
"-1,0,0,1,1,0,0,0,0",-99,0,0,-99,-99,0,0,0,0
"-1,0,1,-1,-1,1,1,1,-1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,-1,0,0,-1,1,1",-99,0,-99,-99,0,0,-99,-99,-99
"-1,0,1,-1,0,1,-1,1,0",-99,0,-99,-99,0,-99,-99,-99,0
"-1,0,1,-1,0,1,0,1,-1",-99,-14.35140927038,-99,-99,-16.998107294060016,-99,-14.35140927038,-99,-99
"-1,0,1,-1,0,1,1,1,-1",-99,0,-99,-99,0,-99,-99,-99,-99
"-1,0,1,-1,1,-1,-1,1,1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,-1,1,0,-1,0,1",-99,0,-99,-99,-99,0,-99,0,-99
"-1,0,1,-1,1,0,-1,1,0",-99,0,-99,-99,-99,0,-99,-99,0
"-1,0,1,-1,1,1,-1,0,0",-99,0,-99,-99,-99,-99,-99,0,0
"-1,0,1,-1,1,1,-1,1,-1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,-1,1,1,0,0,0",-99,0,-99,-99,-99,-99,0,0,0
"-1,0,1,-1,1,1,0,1,-1",-99,0,-99,-99,-99,-99,0,-99,-99
"-1,0,1,0,-1,0,1,1,-1",-99,0,-99,0,-99,0,-99,-99,-99
"-1,0,1,0,-1,1,0,1,-1",-99,0,-99,0,-99,-99,0,-99,-99
